,Date,News_Source,Tweet_Number,compound,neg,neu,pos
84,2017-12-06,@BBC,16,0.5093,0.0,0.82,0.18
85,2017-12-06,@BBC,15,0.0,0.0,1.0,0.0
86,2017-12-06,@BBC,14,0.0,0.0,1.0,0.0
87,2017-12-06,@BBC,13,-0.7579,0.419,0.581,0.0
88,2017-12-06,@BBC,12,0.4019,0.0,0.881,0.119
89,2017-12-06,@BBC,11,0.0,0.0,1.0,0.0
90,2017-12-05,@BBC,10,0.3818,0.0,0.809,0.191
91,2017-12-05,@BBC,9,0.0,0.0,1.0,0.0
92,2017-12-05,@BBC,8,0.0,0.0,1.0,0.0
93,2017-12-05,@BBC,7,0.6369,0.0,0.729,0.271
94,2017-12-05,@BBC,6,0.0,0.0,1.0,0.0
95,2017-12-05,@BBC,5,0.0,0.0,1.0,0.0
96,2017-12-05,@BBC,4,-0.6486,0.301,0.699,0.0
97,2017-12-05,@BBC,3,0.6588,0.0,0.532,0.468
98,2017-12-05,@BBC,2,0.34,0.0,0.821,0.179
99,2017-12-05,@BBC,1,0.7713,0.0,0.574,0.426
100,2017-12-08,@CBS,100,0.8126,0.0,0.697,0.303
101,2017-12-07,@CBS,99,0.7777,0.0,0.746,0.254
102,2017-12-07,@CBS,98,0.5423,0.0,0.863,0.137
103,2017-12-06,@CBS,97,0.3182,0.0,0.874,0.126
104,2017-12-05,@CBS,96,0.1511,0.0,0.91,0.09
105,2017-12-05,@CBS,95,0.4199,0.0,0.883,0.117
106,2017-12-05,@CBS,94,0.5106,0.0,0.837,0.163
107,2017-12-05,@CBS,93,0.0,0.0,1.0,0.0
108,2017-12-04,@CBS,92,0.3612,0.0,0.894,0.106
109,2017-12-04,@CBS,91,0.9217,0.0,0.496,0.504
110,2017-12-04,@CBS,90,0.5213,0.0,0.813,0.187
111,2017-12-04,@CBS,89,-0.5655,0.177,0.823,0.0
112,2017-12-04,@CBS,88,0.9466,0.0,0.328,0.672
113,2017-12-04,@CBS,87,0.5994,0.0,0.719,0.281
114,2017-12-04,@CBS,86,0.7906,0.0,0.731,0.269
115,2017-12-04,@CBS,85,0.8689,0.0,0.671,0.329
116,2017-12-04,@CBS,84,0.8016,0.0,0.736,0.264
117,2017-12-04,@CBS,83,0.5719,0.0,0.844,0.156
118,2017-12-04,@CBS,82,0.0,0.0,1.0,0.0
119,2017-12-04,@CBS,81,0.25,0.0,0.867,0.133
120,2017-12-04,@CBS,80,0.0,0.0,1.0,0.0
121,2017-12-04,@CBS,79,0.0,0.0,1.0,0.0
122,2017-12-04,@CBS,78,0.8591,0.0,0.513,0.487
123,2017-12-04,@CBS,77,-0.2263,0.076,0.924,0.0
124,2017-12-04,@CBS,76,0.5574,0.0,0.806,0.194
125,2017-12-04,@CBS,75,0.3612,0.0,0.762,0.238
126,2017-12-04,@CBS,74,0.4588,0.0,0.864,0.136
127,2017-12-04,@CBS,73,0.807,0.0,0.644,0.356
128,2017-12-04,@CBS,72,0.4574,0.0,0.87,0.13
129,2017-12-04,@CBS,71,-0.2263,0.095,0.905,0.0
130,2017-12-03,@CBS,70,0.8271,0.0,0.648,0.352
131,2017-12-03,@CBS,69,0.7783,0.0,0.714,0.286
132,2017-12-03,@CBS,68,0.8658,0.0,0.614,0.386
133,2017-12-03,@CBS,67,0.8516,0.0,0.647,0.353
134,2017-12-03,@CBS,66,0.7897,0.0,0.72,0.28
135,2017-12-02,@CBS,65,0.6166,0.0,0.825,0.175
136,2017-12-02,@CBS,64,0.1867,0.0,0.902,0.098
137,2017-12-02,@CBS,63,0.6996,0.0,0.821,0.179
138,2017-12-02,@CBS,62,-0.3595,0.128,0.872,0.0
139,2017-12-01,@CBS,61,0.3612,0.0,0.884,0.116
140,2017-12-01,@CBS,60,0.4199,0.0,0.866,0.134
141,2017-12-01,@CBS,59,0.7707,0.0,0.718,0.282
142,2017-12-01,@CBS,58,0.0,0.0,1.0,0.0
143,2017-12-01,@CBS,57,0.8221,0.0,0.691,0.309
144,2017-12-01,@CBS,56,0.0,0.0,1.0,0.0
145,2017-12-01,@CBS,55,0.0,0.0,1.0,0.0
146,2017-12-01,@CBS,54,0.0,0.0,1.0,0.0
147,2017-12-01,@CBS,53,0.6893,0.0,0.749,0.251
148,2017-12-01,@CBS,52,0.1901,0.0,0.907,0.093
149,2017-12-01,@CBS,51,0.296,0.0,0.872,0.128
